0.0,
0.0,
0.0,0.9986295347545738,
0.0,0.9975640502598243,
0.0,0.9961946980917455,
0.0,0.9945218953682734,1.9890437907365468,
0.0,0.9925461516413221,1.9850923032826442,
0.0,0.9902680687415704,1.9805361374831407,
0.0,0.9876883405951379,1.9753766811902758,2.963065021785414,
0.0,0.984807753012208,1.969615506024416,2.9544232590366244,
0.0,0.981627183447664,1.963254366895328,2.944881550342992,
0.0,0.9781476007338057,1.9562952014676114,2.9344428022014175,3.9125904029352228,
0.0,0.9743700647852352,1.9487401295704705,2.923110194355706,3.897480259140941,
0.0,0.9702957262759965,1.940591452551993,2.91088717882799,3.881182905103986,
0.0,0.9659258262890683,1.9318516525781366,2.8977774788672055,3.8637033051562732,4.8296291314453415,
0.0,0.9612616959383189,1.9225233918766378,2.883785087814957,3.8450467837532756,4.8063084796915945,
0.0,0.9563047559630354,1.9126095119260709,2.8689142678891066,3.8252190238521417,4.781523779815177,
0.0,0.9510565162951535,1.902113032590307,2.853169548885461,3.804226065180614,4.755282581475767,5.706339097770921,
0.0,0.945518575599317,1.891037151198634,2.836555726797951,3.782074302397268,4.727592877996584,5.673111453595901,
0.0,0.9396926207859085,1.879385241571817,2.819077862357726,3.758770483143634,4.698463103929543,5.638155724715451,
0.0,0.9335804264972017,1.8671608529944035,2.800741279491606,3.734321705988807,4.667902132486009,5.60148255898321,6.535062985480412,
0.0,0.9271838545667874,1.8543677091335748,2.7815515637003627,3.7087354182671497,4.635919272833937,5.5631031274007245,6.490286981967512,
0.0,0.9205048534524404,1.8410097069048807,2.7615145603573215,3.6820194138097615,4.6025242672622015,5.523029120714642,6.443533974167082,
0.0,0.9135454576426009,1.8270909152852017,2.740636372927803,3.6541818305704035,4.567727288213004,5.4812727458556045,6.394818203498206,7.308363661140806,
0.0,0.9063077870366499,1.8126155740732999,2.71892336110995,3.6252311481465997,4.531538935183249,5.437846722219899,6.344154509256549,7.250462296293199,
0.0,0.898794046299167,1.797588092598334,2.6963821388975013,3.595176185196668,4.493970231495835,5.392764277795002,6.291558324094169,7.190352370393335,
0.0,0.8910065241883679,1.7820130483767358,2.673019572565104,3.5640260967534716,4.455032620941839,5.346039145130207,6.237045669318575,7.128052193506942,8.01905871769531,
0.0,0.882947592858927,1.765895185717854,2.6488427785767814,3.531790371435708,4.414737964294635,5.297685557153562,6.180633150012489,7.063580742871415,7.946528335730342,
0.0,0.8746197071393959,1.7492394142787917,2.623859121418188,3.4984788285575834,4.373098535696979,5.247718242836375,6.12233794997577,6.996957657115166,7.871577364254561,
0.0,0.8660254037844388,1.7320508075688776,2.5980762113533165,3.4641016151377553,4.330127018922194,5.196152422706632,6.06217782649107,6.92820323027551,7.794228634059948,8.660254037844386,
0.0,0.8571673007021124,1.714334601404225,2.5715019021063377,3.42866920280845,4.285836503510562,5.1430038042126744,6.000171104914786,6.857338405616899,7.71450570631901,8.571673007021122,
0.0,0.848048096156426,1.696096192312852,2.544144288469278,3.392192384625704,4.24024048078213,5.088288576938555,5.936336673094981,6.784384769251407,7.632432865407833,8.480480961564258,
0.0,0.8386705679454242,1.6773411358908483,2.5160117038362726,3.3546822717816966,4.193352839727121,5.032023407672544,5.870693975617969,6.709364543563392,7.548035111508817,8.38670567945424,9.225376247399664,
0.0,0.8290375725550416,1.6580751451100832,2.487112717665125,3.3161502902201665,4.145187862775208,4.974225435330249,5.80326300788529,6.632300580440332,7.461338152995373,8.290375725550414,9.119413298105457,
0.0,0.8191520442889918,1.6383040885779836,2.4574561328669757,3.276608177155967,4.095760221444959,4.914912265733951,5.734064310022942,6.5532163543119335,7.3723683986009245,8.191520442889916,9.010672487178908,
0.0,0.8090169943749475,1.618033988749895,2.427050983124843,3.23606797749979,4.045084971874737,4.854101966249685,5.663118960624632,6.472135954999579,7.281152949374526,8.090169943749473,8.899186938124421,
0.0,0.7986355100472928,1.5972710200945857,2.395906530141879,3.1945420401891713,3.993177550236464,4.791813060283757,5.590448570331049,6.389084080378342,7.187719590425635,7.986355100472927,8.78499061052022,9.583626120567514,
0.0,0.7880107536067219,1.5760215072134438,2.364032260820166,3.1520430144268876,3.9400537680336094,4.728064521640331,5.5160752752470525,6.304086028853774,7.092096782460496,7.880107536067218,8.66811828967394,9.456129043280662,
0.0,0.7771459614569709,1.5542919229139418,2.331437884370913,3.1085838458278836,3.8857298072848545,4.662875768741825,5.440021730198796,6.217167691655766,6.994313653112737,7.771459614569708,8.548605576026679,9.32575153748365,
0.0,0.766044443118978,1.532088886237956,2.298133329356934,3.064177772475912,3.83022221559489,4.596266658713867,5.362311101832845,6.128355544951823,6.894399988070801,7.660444431189779,8.426488874308756,9.192533317427735,9.958577760546714,
0.0,0.7547095802227721,1.5094191604455443,2.2641287406683164,3.0188383208910885,3.77354790111386,4.528257481336632,5.282967061559404,6.037676641782176,6.792386222004947,7.5470958022277195,8.30180538245049,9.056514962673264,9.811224542896037,
0.0,0.7431448254773942,1.4862896509547885,2.229434476432183,2.972579301909577,3.715724127386971,4.458868952864365,5.202013778341759,5.945158603819153,6.688303429296547,7.431448254773941,8.174593080251336,8.91773790572873,9.660882731206124,
0.0,0.7313537016191705,1.462707403238341,2.1940611048575116,2.925414806476682,3.656768508095852,4.388122209715022,5.1194759113341926,5.850829612953363,6.582183314572533,7.313537016191703,8.044890717810874,8.776244419430045,9.507598121049215,
0.0,0.7193398003386512,1.4386796006773024,2.1580194010159537,2.8773592013546048,3.596699001693256,4.3160388020319065,5.035378602370558,5.754718402709209,6.47405820304786,7.193398003386511,7.912737803725162,8.632077604063813,9.351417404402465,10.070757204741117,
0.0,0.7071067811865476,1.4142135623730951,2.121320343559643,2.8284271247461903,3.5355339059327378,4.242640687119285,4.949747468305833,5.65685424949238,6.363961030678928,7.071067811865475,7.7781745930520225,8.48528137423857,9.19238815542512,9.899494936611667,
0.0,0.6946583704589973,1.3893167409179945,2.083975111376992,2.778633481835989,3.4732918522949863,4.1679502227539835,4.862608593212981,5.557266963671977,6.251925334130974,6.946583704589972,7.641242075048969,8.335900445507967,9.030558815966964,9.725217186425963,
0.0,0.6819983600624986,1.3639967201249972,2.0459950801874958,2.7279934402499944,3.4099918003124925,4.091990160374991,4.773988520437489,5.455986880499988,6.137985240562486,6.819983600624984,7.501981960687482,8.183980320749981,8.86597868081248,9.54797704087498,
0.0,0.6691306063588582,1.3382612127177165,2.007391819076575,2.676522425435433,3.345653031794291,4.014783638153149,4.683914244512008,5.353044850870865,6.022175457229723,6.6913060635885815,7.36043666994744,8.029567276306299,8.698697882665158,9.367828489024017,10.036959095382874,
