angle,height,distance
0.0,0.0,0.0
1.0,0.0,0.35587582612309987
2.0,0.0,0.7113180723705373
3.0,0.0,1.0658936871169409
4.0,0.0,1.419170674593928
5.0,0.0,1.7707186212104067
6.0,0.0,2.1201092199452347
7.0,0.0,2.466916792173349
8.0,0.0,2.8107188062896014
9.0,0.0,3.151096392498432
10.0,0.0,3.4876348531421906
11.0,0.0,3.8199241679463634
12.0,0.0,4.147559493566104
13.0,0.0,4.470141656825495
14.0,0.0,4.787277641048582
15.0,0.0,5.0985810648896415
16.0,0.0,5.403672653079338
17.0,0.0,5.702180698513222
18.0,0.0,5.993741515119567
19.0,0.0,6.277999880954846
20.0,0.0,6.554609470986926
21.0,0.0,6.8232332790387975
22.0,0.0,7.083544028378674
23.0,0.0,7.335224570456284
24.0,0.0,7.577968271299519
25.0,0.0,7.811479385100703
26.0,0.0,8.035473414537298
27.0,0.0,8.249677457388072
28.0,0.0,8.453830539022418
29.0,0.0,8.647683930357728
30.0,0.0,8.831001450897489
31.0,0.0,9.003559756480827
32.0,0.0,9.16514861139295
33.0,0.0,9.315571144505014
34.0,0.0,9.454644089131227
35.0,0.0,9.582198006311108
36.0,0.0,9.698077491244755
37.0,0.0,9.802141362629634
38.0,0.0,9.894262834668275
39.0,0.0,9.974329671537228
40.0,0.0,10.042244324129117
41.0,0.0,10.09792404890121
42.0,0.0,10.141301008685671
43.0,0.0,10.172322355338716
44.0,0.0,10.190950294127921
45.0,0.0,10.197162129779283
46.0,0.0,10.19095029412792
47.0,0.0,10.172322355338716
48.0,0.0,10.141301008685671
49.0,0.0,10.09792404890121
50.0,0.0,10.042244324129117
51.0,0.0,9.974329671537232
52.0,0.0,9.894262834668275
53.0,0.0,9.802141362629635
54.0,0.0,9.698077491244755
55.0,0.0,9.58219800631111
56.0,0.0,9.454644089131225
57.0,0.0,9.315571144505014
58.0,0.0,9.16514861139295
59.0,0.0,9.003559756480827
60.0,0.0,8.83100145089749
61.0,0.0,8.64768393035773
62.0,0.0,8.453830539022416
63.0,0.0,8.249677457388074
64.0,0.0,8.0354734145373
65.0,0.0,7.811479385100702
66.0,0.0,7.577968271299519
67.0,0.0,7.335224570456282
68.0,0.0,7.0835440283786735
69.0,0.0,6.8232332790388
70.0,0.0,6.554609470986927
71.0,0.0,6.277999880954845
72.0,0.0,5.993741515119568
73.0,0.0,5.702180698513223
74.0,0.0,5.403672653079338
75.0,0.0,5.0985810648896415
76.0,0.0,4.787277641048581
77.0,0.0,4.4701416568254935
78.0,0.0,4.147559493566105
79.0,0.0,3.8199241679463656
80.0,0.0,3.487634853142193
81.0,0.0,3.1510963924984328
82.0,0.0,2.8107188062896014
83.0,0.0,2.466916792173349
84.0,0.0,2.1201092199452343
85.0,0.0,1.7707186212104062
86.0,0.0,1.4191706745939268
87.0,0.0,1.0658936871169435
88.0,0.0,0.7113180723705396
89.0,0.0,0.3558758261231016
90.0,0.0,1.2487921962620805E-15
0.0,1.0,4.516007557517875
1.0,1.0,4.696762353644731
2.0,1.0,4.8829074096609535
3.0,1.0,5.074146627373743
4.0,1.0,5.27013327911134
5.0,1.0,5.470473001974667
6.0,1.0,5.674727683706086
7.0,1.0,5.8824200628811285
8.0,1.0,6.093038844447974
9.0,1.0,6.306044125824486
10.0,1.0,6.520872937375154
11.0,1.0,6.736944721307368
12.0,1.0,6.953666601255384
